"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"366"	48	69	69	0	1	-44	"2009"	0.797628642
"367"	51	72	72	0	1	-47	"2009"	0.947892129
"368"	53	62	62	0	1	-37	"2009"	0.447013839
"369"	54	67	70	1	1	-54	"2009"	1.298506932
"370"	54	79	79	0	1	-54	"2009"	1.298506932
"371"	55	80	80	0	1	-55	"2009"	1.348594761
"372"	79	79	81	1	1	-77	"2009"	2.450526999
"373"	33	53	53	0	1	-28	"2009"	-0.053864451
"374"	34	59	59	0	1	-34	"2009"	0.296750352
"375"	43	64	64	0	1	-39	"2009"	0.547189497
"376"	35	35	37	1	1	-33	"2009"	0.246662523
"377"	41	67	67	0	1	-40	"2009"	0.597277326
"378"	41	69	69	0	1	-40	"2009"	0.597277326
"379"	54	66	70	1	1	-52	"2009"	1.198331274
"380"	58	73	73	0	1	-48	"2009"	0.997979958
"381"	18	44	44	0	1	-17	"2009"	-0.504654912
"382"	28	45	45	0	1	-20	"2009"	-0.454567083
"383"	33	65	68	1	1	-31	"2009"	0.146486865
"384"	38	54	57	1	1	-36	"2009"	0.497101668
"385"	43	43	45	1	1	-20	"2009"	-0.454567083
"386"	43	68	68	0	1	-43	"2009"	0.747540813
"387"	47	67	70	1	1	-47	"2009"	0.947892129
"388"	52	78	82	1	1	-51	"2009"	1.148243445
"389"	56	79	79	0	1	-54	"2009"	1.298506932
"390"	40	43	46	1	1	-40	"2009"	0.597277326
"391"	40	40	43	1	1	-39	"2009"	0.547189497
"392"	40	43	46	1	1	-38	"2009"	0.497101668
"393"	3	13	16	1	1	-1	"2010"	-1.406235835
"394"	5	29	29	0	1	-3	"2010"	-1.356148006
"395"	13	33	33	0	1	-8	"2010"	-1.10570886
"396"	14	32	32	0	1	-7	"2010"	-1.155796689
"397"	14	32	32	0	1	-7	"2010"	-1.155796689
"398"	14	38	38	0	1	-13	"2010"	-0.855269715
"399"	17	20	20	0	1	6	"2010"	-1.756850638
"400"	19	18	18	0	1	8	"2010"	-1.857026296
"401"	31	53	53	0	1	-28	"2010"	-0.053864451
"402"	5	27	27	0	1	-2	"2010"	-1.406235835
"403"	31	58	58	0	1	-30	"2010"	0.246662523
"404"	31	37	40	1	1	-29	"2010"	-0.003776622
"405"	37	63	63	0	1	-33	"2010"	0.497101668
"406"	46	69	69	0	1	-44	"2010"	0.797628642
"407"	50	64	64	0	1	-39	"2010"	0.547189497
"408"	53	63	66	1	1	-48	"2010"	0.997979958
"409"	53	81	81	0	1	-53	"2010"	1.248419103
"410"	65	75	78	1	1	-51	"2010"	1.448770419
"411"	5	32	32	0	1	-5	"2010"	-1.255972348
"412"	5	33	33	0	1	-5	"2010"	-1.10570886
"413"	5	35	35	0	1	-5	"2010"	-1.255972348
"414"	5	13	17	1	1	-2	"2010"	-1.406235835
"415"	5	24	24	0	1	2	"2010"	-1.556499322
"416"	5	27	27	0	1	-2	"2010"	-1.406235835
"417"	5	20	20	0	1	6	"2010"	-1.756850638
"418"	5	19	22	1	1	4	"2010"	-1.65667498
"419"	4	13	13	0	1	15	"2010"	-2.057377612
"420"	5	27	27	0	1	-2	"2010"	-1.406235835
"421"	5	26	26	0	1	-1	"2010"	-1.456323664
"422"	5	20	20	0	1	6	"2010"	-1.756850638
"423"	5	17	17	0	1	9	"2010"	-1.907114125
"424"	5	20	23	1	1	3	"2010"	-1.606587151
"425"	6	35	35	0	1	-6	"2010"	-1.005533202
"426"	6	16	16	0	1	10	"2010"	-1.957201954
"427"	6	15	15	0	1	11	"2010"	-2.007289783
"428"	6	18	18	0	1	8	"2010"	-1.857026296
"429"	6	30	30	0	1	-5	"2010"	-1.255972348
"430"	4	29	29	0	1	-2	"2010"	-1.406235835
"431"	20	42	42	0	1	-17	"2010"	-0.654918399
"432"	68	84	84	0	1	-59	"2010"	1.548946077
"433"	4	27	27	0	1	-2	"2010"	-1.406235835
"434"	4	15	15	0	1	11	"2010"	-2.007289783
"435"	4	28	28	0	1	-2	"2010"	-1.406235835
"436"	4	28	28	0	1	-2	"2010"	-1.406235835
"437"	4	27	27	0	1	-2	"2010"	-1.406235835
"438"	4	33	33	0	1	-4	"2010"	-1.10570886
"439"	31	32	32	0	1	-7	"2010"	-1.155796689
"440"	47	47	50	1	1	-47	"2010"	0.947892129
"441"	42	68	68	0	1	-42	"2010"	0.697452984
"442"	3	15	15	0	1	13	"2010"	-2.007289783
"443"	20	28	31	1	1	-12	"2010"	-0.905357544
"444"	20	36	40	1	1	-19	"2010"	-0.304303596
"445"	26	28	30	1	1	-25	"2010"	-0.003776622
"446"	27	47	47	0	1	-22	"2010"	-0.354391425
"447"	35	37	40	1	1	-30	"2010"	0.046311207
"448"	31	43	46	1	1	-29	"2010"	-0.003776622
"449"	40	58	58	0	1	-33	"2010"	0.246662523
"450"	41	43	46	1	1	-41	"2010"	0.647365155
"451"	41	44	46	1	1	-40	"2010"	0.697452984
"452"	42	66	66	0	1	-40	"2010"	0.597277326
"453"	44	44	46	1	1	-39	"2010"	0.547189497
"454"	46	46	48	1	1	-45	"2010"	0.847716471
"455"	47	57	57	0	1	-32	"2010"	0.196574694
"456"	47	70	70	0	1	-45	"2010"	0.847716471
"457"	59	83	83	0	1	-58	"2010"	1.498858248
"458"	61	83	83	0	1	-58	"2010"	1.498858248
"459"	65	83	83	0	1	-58	"2010"	1.498858248
"460"	3	25	25	0	1	3	"2010"	-1.506411493
"461"	42	44	46	1	1	-37	"2010"	0.447013839
"462"	6	16	16	0	1	10	"2010"	-1.957201954
"463"	7	16	16	0	1	10	"2010"	-1.957201954
"464"	7	34	34	0	1	-7	"2010"	-1.055621031
"465"	7	11	15	1	1	-2	"2010"	-1.406235835
"466"	7	25	27	1	1	-2	"2010"	-1.406235835
"467"	7	13	16	1	1	4	"2010"	-1.65667498
"468"	20	20	22	1	1	4	"2010"	-1.65667498
"469"	6	27	27	0	1	-2	"2010"	-1.406235835
"470"	27	29	31	1	1	-22	"2010"	-0.354391425
"471"	31	37	39	1	1	-31	"2010"	0.146486865
"472"	31	37	39	1	1	-30	"2010"	0.046311207
"473"	34	45	47	1	1	-32	"2010"	0.196574694
"474"	64	64	67	1	1	-62	"2010"	1.699209564
"475"	21	42	42	0	1	-17	"2010"	-0.654918399
"476"	34	54	54	0	1	-29	"2010"	-0.003776622
"477"	44	59	59	0	1	-34	"2010"	0.296750352
"478"	34	51	54	1	1	-32	"2010"	0.196574694
"479"	73	73	75	1	1	-68	"2010"	1.999736538
"480"	73	73	75	1	1	-68	"2010"	1.999736538
